State,Abbr,City,Population
Alabama,AL,Birmingham,209880
Alaska,AK,Anchorage,291538
Arizona,AZ,Phoenix,1660272
Arkansas,AR,Little Rock,197881
California,CA,Los Angeles,3990456
Colorado,CO,Denver,716492
Connecticut,CT,Bridgeport,144900
Delaware,DE,Wilmington,70635
Florida,FL,Jacksonville,903889
Georgia,GA,Atlanta,498044
Hawaii,HI,Honolulu,347397
Idaho,ID,Boise,228790
Illinois,IL,Chicago,2705994
Indiana,IN,Indianapolis,867125
Iowa,IA,Des Moines,216853
Kansas,KS,Wichita,389225
Kentucky,KY,Louisville,620118
Louisiana,LA,New Orleans,391006
Maine,ME,Portland,66417
Maryland,MD,Baltimore,602495
Massachusetts,MA,Boston,694583
Michigan,MI,Detroit,672662
Minnesota,MN,Minneapolis,425403
Mississippi,MS,Jackson,164422
Missouri,MO,Kansas City,491918
Montana,MT,Billings,109550
Nebraska,NE,Omaha,468262
Nevada,NV,Las Vegas,644644
New Hampshire,NH,Manchester,112525
New Jersey,NJ,Newark,282090
New Mexico,NM,Albuquerque,560218
New York,NY,New York City,8398748
North Carolina,NC,Charlotte,872498
North Dakota,ND,Fargo,124844
Ohio,OH,Columbus,892533
Oklahoma,OK,Oklahoma City,649021
Oregon,OR,Portland,653115
Pennsylvania,PA,Philadelphia,1584138
Rhode Island,RI,Providence,179335
South Carolina,SC,Charleston,136208
South Dakota,SD,Sioux Falls,181883
Tennessee,TN,Nashville,669053
Texas,TX,Houston,2325502
Utah,UT,Salt Lake City,200591
Vermont,VT,Burlington,42899
Virginia,VA,Virginia Beach,450189
Washington,WA,Seattle,744955
West Virginia,WV,Charleston,47215
Wisconsin,WI,Milwaukee,592025
Wyoming,WY,Cheyenne,63957