Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
1/1/2019,142,PM2.5,TACOMA - L STREET,53-053-0029,AQS,10,9,1,.,142,27
1/2/2019,55,PM2.5,TACOMA - L STREET,53-053-0029,AQS,10,16,1,.,55,28
1/3/2019,52,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AQS,9,31,1,4,52,48
1/4/2019,43,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AQS,6,31,1,.,43,30
1/5/2019,52,PM2.5,TACOMA - L STREET,53-053-0029,AQS,9,26,4,.,52,40
1/6/2019,32,Ozone,SEATTLE - BEACON HILL,53-033-0080,AQS,7,32,1,4,25,30
1/7/2019,42,PM2.5,PUYALLUP - 128TH ST,53-053-1018,AQS,8,24,0,.,42,36
1/8/2019,49,NO2,Seattle-10th & Weller,53-033-0030,AQS,9,18,1,.,36,49
1/9/2019,53,PM2.5,TACOMA - ALEXANDER AVE,53-053-0031,AQS,9,21,1,4,53,31
1/10/2019,80,NO2,Tacoma-S 36th St,53-053-0024,AQS,3,19,0,.,31,80
1/11/2019,60,PM2.5,MARYSVILLE - 7TH AVE (Marysville Junior High),53-061-1007,AQS,6,16,4,.,60,42
1/12/2019,77,PM2.5,TACOMA - L STREET,53-053-0029,AQS,8,42,6,17,77,39
1/13/2019,120,PM2.5,TACOMA - L STREET,53-053-0029,AQS,6,47,3,.,120,38
1/14/2019,92,PM2.5,TACOMA - L STREET,53-053-0029,AQS,5,45,3,.,92,35
1/15/2019,86,PM2.5,Seattle-10th & Weller,53-033-0030,AQS,9,41,7,24,86,82
1/16/2019,87,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AQS,8,35,7,.,87,58
1/17/2019,42,NO2,Seattle-10th & Weller,53-033-0030,AQS,3,37,3,.,39,42
1/18/2019,40,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,2,40,0,6,37,40
1/19/2019,38,PM2.5,TACOMA - L STREET,53-053-0029,AQS,3,38,0,.,38,25
1/20/2019,48,PM2.5,TACOMA - L STREET,53-053-0029,AQS,2,39,0,.,48,29
1/21/2019,63,PM2.5,TACOMA - L STREET,53-053-0029,AQS,5,36,1,14,63,31
1/22/2019,39,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,3,39,0,.,34,32
1/23/2019,38,NO2,Seattle-10th & Weller,53-033-0030,AQS,3,36,3,.,25,38
1/24/2019,48,PM2.5,LAKE FOREST PARK TOWNE CENTER,53-033-0024,AQS,5,42,3,11,48,36
1/25/2019,73,PM2.5,MARYSVILLE - 7TH AVE (Marysville Junior High),53-061-1007,AQS,3,41,.,.,73,25
1/26/2019,81,PM2.5,TACOMA - L STREET,53-053-0029,AQS,3,39,1,.,81,22
1/27/2019,63,PM2.5,TACOMA - L STREET,53-053-0029,AQS,3,40,0,12,63,17
1/28/2019,47,PM2.5,MARYSVILLE - 7TH AVE (Marysville Junior High),53-061-1007,AQS,3,42,1,.,47,23
1/29/2019,78,PM2.5,DARRINGTON - FIR ST (Darrington High School),53-061-0020,AQS,5,42,1,.,78,34
1/30/2019,85,PM2.5,Tacoma-S 36th St,53-053-0024,AQS,8,43,7,20,85,47
1/31/2019,65,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AQS,8,42,3,.,65,42
2/1/2019,48,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AQS,5,40,1,.,48,33
2/2/2019,38,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,2,38,1,6,32,28
2/3/2019,41,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,.,41,0,.,24,20
2/4/2019,63,PM2.5,MARYSVILLE - 7TH AVE (Marysville Junior High),53-061-1007,AQS,3,36,0,.,63,25
2/5/2019,93,PM2.5,MARYSVILLE - 7TH AVE (Marysville Junior High),53-061-1007,AQS,8,36,3,13,93,37
2/6/2019,81,PM2.5,TACOMA - L STREET,53-053-0029,AQS,9,43,1,.,81,36
2/7/2019,91,PM2.5,MARYSVILLE - 7TH AVE (Marysville Junior High),53-061-1007,AQS,8,44,1,.,91,36
2/8/2019,63,PM2.5,TACOMA - L STREET,53-053-0029,AQS,7,37,1,13,63,35
2/9/2019,48,PM2.5,DARRINGTON - FIR ST (Darrington High School),53-061-0020,AQS,3,37,0,.,48,25
2/10/2019,70,PM2.5,DARRINGTON - FIR ST (Darrington High School),53-061-0020,AQS,5,44,1,.,70,33
2/11/2019,35,PM2.5,SEATTLE - SOUTH PARK #2,53-033-1011,AQS,3,31,0,5,35,35
2/12/2019,48,PM2.5,DARRINGTON - FIR ST (Darrington High School),53-061-0020,AQS,3,31,0,.,48,32
2/13/2019,42,PM2.5,MARYSVILLE - 7TH AVE (Marysville Junior High),53-061-1007,AQS,5,25,1,.,42,33
2/14/2019,54,PM2.5,DARRINGTON - FIR ST (Darrington High School),53-061-0020,AQS,10,44,3,7,54,54
2/15/2019,59,PM2.5,DARRINGTON - FIR ST (Darrington High School),53-061-0020,AQS,9,42,1,.,59,35
2/16/2019,59,PM2.5,DARRINGTON - FIR ST (Darrington High School),53-061-0020,AQS,9,38,1,.,59,32
2/17/2019,58,PM2.5,LAKE FOREST PARK TOWNE CENTER,53-033-0024,AQS,8,36,0,11,58,28
2/18/2019,85,PM2.5,DARRINGTON - FIR ST (Darrington High School),53-061-0020,AQS,9,36,1,.,85,22
2/19/2019,70,PM2.5,DARRINGTON - FIR ST (Darrington High School),53-061-0020,AQS,7,26,.,.,70,35
2/20/2019,41,PM2.5,DARRINGTON - FIR ST (Darrington High School),53-061-0020,AQS,6,20,0,6,41,24
2/21/2019,56,PM2.5,MARYSVILLE - 7TH AVE (Marysville Junior High),53-061-1007,AQS,9,39,0,.,56,35
2/22/2019,57,PM2.5,DARRINGTON - FIR ST (Darrington High School),53-061-0020,AQS,8,41,1,.,57,33
2/23/2019,42,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,6,42,0,6,34,30
2/24/2019,53,PM2.5,DARRINGTON - FIR ST (Darrington High School),53-061-0020,AQS,5,42,0,.,53,25
2/25/2019,41,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,5,41,.,.,38,24
2/26/2019,46,PM2.5,DARRINGTON - FIR ST (Darrington High School),53-061-0020,AQS,3,44,0,6,46,31
2/27/2019,43,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,7,43,1,.,31,31
2/28/2019,49,PM2.5,MARYSVILLE - 7TH AVE (Marysville Junior High),53-061-1007,AQS,8,43,1,.,49,44
3/1/2019,42,PM2.5,LAKE FOREST PARK TOWNE CENTER,53-033-0024,AQS,6,42,0,10,42,29
3/2/2019,44,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,5,44,1,.,42,30
3/3/2019,45,PM2.5,MARYSVILLE - 7TH AVE (Marysville Junior High),53-061-1007,AQS,3,45,0,.,45,17
3/4/2019,57,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AQS,5,44,0,4,57,39
3/5/2019,64,PM2.5,DARRINGTON - FIR ST (Darrington High School),53-061-0020,AQS,6,43,0,.,64,41
3/6/2019,69,PM2.5,DARRINGTON - FIR ST (Darrington High School),53-061-0020,AQS,5,43,1,.,69,32
3/7/2019,44,PM2.5,DARRINGTON - FIR ST (Darrington High School),53-061-0020,AQS,5,44,1,.,44,38
3/8/2019,48,PM2.5,TACOMA - L STREET,53-053-0029,AQS,3,44,1,.,48,39
3/9/2019,60,PM2.5,TACOMA - L STREET,53-053-0029,AQS,3,47,1,.,60,28
3/10/2019,62,PM2.5,TACOMA - L STREET,53-053-0029,AQS,.,47,7,10,62,38
3/11/2019,53,PM2.5,TACOMA - L STREET,53-053-0029,AQS,3,46,1,.,53,40
3/12/2019,52,PM2.5,DARRINGTON - FIR ST (Darrington High School),53-061-0020,AQS,3,42,0,.,52,27
3/13/2019,41,NO2,Seattle-10th & Weller,53-033-0030,AQS,3,40,1,10,39,41
3/14/2019,51,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,3,51,1,.,38,29
3/15/2019,47,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,3,47,.,.,45,35
3/16/2019,55,PM2.5,TACOMA - L STREET,53-053-0029,AQS,3,46,.,14,55,34
3/17/2019,61,PM2.5,TACOMA - L STREET,53-053-0029,AQS,3,47,1,.,61,26
3/18/2019,54,PM2.5,MARYSVILLE - 7TH AVE (Marysville Junior High),53-061-1007,AQS,3,49,1,.,54,34
3/19/2019,92,PM2.5,DARRINGTON - FIR ST (Darrington High School),53-061-0020,AQS,3,50,3,7,92,58
3/20/2019,58,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,5,58,3,.,36,55
3/21/2019,46,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,2,46,1,.,40,42
3/22/2019,48,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,5,48,3,15,38,38
3/23/2019,44,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,2,44,3,.,36,40
3/24/2019,57,PM2.5,DARRINGTON - FIR ST (Darrington High School),53-061-0020,AQS,.,31,6,.,57,36
3/25/2019,50,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,8,50,4,12,35,32
3/26/2019,47,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,6,47,0,.,31,41
3/27/2019,47,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,5,47,1,.,26,30
3/28/2019,46,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,3,46,.,.,30,42
3/29/2019,45,NO2,Seattle-10th & Weller,53-033-0030,AQS,3,44,6,.,44,45
3/30/2019,50,PM2.5,MARYSVILLE - 7TH AVE (Marysville Junior High),53-061-1007,AQS,.,43,3,.,50,35
3/31/2019,52,PM2.5,TACOMA - L STREET,53-053-0029,AQS,.,44,1,.,52,36
4/1/2019,47,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,3,47,1,.,44,37
4/2/2019,46,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,3,46,3,.,39,39
4/3/2019,44,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,3,44,1,.,31,25
4/4/2019,46,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,2,46,3,.,37,38
4/5/2019,47,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,2,47,0,.,31,18
4/6/2019,48,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,2,48,1,.,27,21
4/7/2019,45,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,6,45,1,.,23,31
4/8/2019,44,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,7,44,1,.,31,29
4/9/2019,41,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,5,41,0,.,23,25
4/10/2019,43,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,6,43,0,.,23,25
4/11/2019,43,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,6,43,0,.,18,31
4/12/2019,41,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,6,41,.,5,28,34
4/13/2019,47,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,5,47,.,.,25,16
4/14/2019,46,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,5,46,.,.,22,14
4/15/2019,47,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,6,47,.,5,21,39
4/16/2019,45,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,6,45,1,.,25,29
4/17/2019,43,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,6,43,1,.,20,27
4/18/2019,31,Ozone,ISSAQUAH -  LAKE SAMMAMISH (Wiithin Lake Sammamish State Park),53-033-0010,AirNow,6,31,1,5,20,28
4/19/2019,42,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,5,42,1,.,23,39
4/20/2019,38,PM2.5,MARYSVILLE - 7TH AVE (Marysville Junior High),53-061-1007,AQS,7,37,1,.,38,38
4/21/2019,44,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,7,44,1,12,42,41
4/22/2019,40,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AQS,6,33,1,.,40,28
4/23/2019,37,Ozone,SEATTLE - BEACON HILL,53-033-0080,AQS,6,37,0,.,26,30
4/24/2019,43,Ozone,ISSAQUAH -  LAKE SAMMAMISH (Wiithin Lake Sammamish State Park),53-033-0010,AirNow,6,43,0,12,31,40
4/25/2019,34,NO2,Tacoma-S 36th St,53-053-0024,AQS,6,33,1,.,33,34
4/26/2019,45,Ozone,ENUMCLAW - MUD MTN (Army Corp of Engineers site),53-033-0023,AirNow,6,45,1,.,34,32
4/27/2019,42,Ozone,ENUMCLAW - MUD MTN (Army Corp of Engineers site),53-033-0023,AirNow,5,42,1,8,22,16
4/28/2019,38,Ozone,ENUMCLAW - MUD MTN (Army Corp of Engineers site),53-033-0023,AirNow,5,38,1,.,31,17
4/29/2019,41,Ozone,SEATTLE - BEACON HILL,53-033-0080,AQS,5,41,1,.,23,29
4/30/2019,44,Ozone,ISSAQUAH -  LAKE SAMMAMISH (Wiithin Lake Sammamish State Park),53-033-0010,AirNow,6,44,1,6,32,35
5/1/2019,44,Ozone,NORTH BEND - NORTH BEND WAY,53-033-0017,AQS,6,44,1,.,38,30
5/2/2019,41,Ozone,SEATTLE - BEACON HILL,53-033-0080,AQS,5,41,1,.,36,29
5/3/2019,38,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,6,38,1,11,36,36
5/4/2019,42,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,7,42,1,.,34,34
5/5/2019,41,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,6,41,1,.,40,27
5/6/2019,44,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,6,44,3,13,33,35
5/7/2019,44,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,6,44,1,.,31,43
5/8/2019,45,PM2.5,Seattle-10th & Weller,53-033-0030,AQS,7,42,1,.,45,42
5/9/2019,51,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,6,51,1,12,37,43
5/10/2019,74,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,8,74,6,.,48,54
5/11/2019,90,Ozone,NORTH BEND - NORTH BEND WAY,53-033-0017,AQS,7,90,4,.,54,50
5/12/2019,54,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,6,54,1,9,28,38
5/13/2019,58,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,6,58,1,.,40,39
5/14/2019,46,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,6,46,1,.,29,32
5/15/2019,42,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,7,42,1,7,30,40
5/16/2019,45,PM2.5,SEATTLE - SOUTH PARK #2,53-033-1011,AQS,7,40,1,.,45,33
5/17/2019,40,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,5,40,1,.,20,28
5/18/2019,45,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,5,45,3,6,23,30
5/19/2019,38,Ozone,SEATTLE - BEACON HILL,53-033-0080,AQS,6,38,1,.,25,34
5/20/2019,54,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,5,54,1,.,25,26
5/21/2019,45,PM2.5,TACOMA - ALEXANDER AVE,53-053-0031,AQS,5,42,1,5,45,42
5/22/2019,46,PM2.5,Seattle-10th & Weller,53-033-0030,AQS,7,46,3,.,46,35
5/23/2019,52,PM2.5,Seattle-10th & Weller,53-033-0030,AQS,7,45,3,.,52,51
5/24/2019,40,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AQS,6,38,1,13,40,22
5/25/2019,45,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,6,45,1,.,24,28
5/26/2019,44,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,8,44,1,.,36,37
5/27/2019,53,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AQS,8,41,1,10,53,26
5/28/2019,51,PM2.5,SEATTLE - SOUTH PARK #2,53-033-1011,AQS,6,31,1,.,51,25
5/29/2019,44,PM2.5,Tukwila Allentown,53-033-0069,AQS,7,44,1,.,44,42
5/30/2019,52,PM2.5,Seattle-10th & Weller,53-033-0030,AQS,8,35,3,14,52,46
5/31/2019,54,PM2.5,Seattle-10th & Weller,53-033-0030,AQS,8,36,3,.,54,41
6/1/2019,41,PM2.5,Seattle-10th & Weller,53-033-0030,AQS,8,41,1,.,41,38
6/2/2019,37,Ozone,NORTH BEND - NORTH BEND WAY,53-033-0017,AQS,5,37,1,13,36,25
6/3/2019,36,Ozone,NORTH BEND - NORTH BEND WAY,53-033-0017,AQS,5,36,1,.,30,19
6/4/2019,41,Ozone,NORTH BEND - NORTH BEND WAY,53-033-0017,AQS,7,41,1,.,28,35
6/5/2019,36,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,5,36,1,8,27,32
6/6/2019,31,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,5,31,1,.,20,26
